protocol,network,contract_address,role
symbiosis,abstract,0xd38bb40815d2b0c2d2c866e0c72c5728ffc76dd9,
portal,acala,solana:85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,
gate,acala,0xe66747a101bff2dba3697199dcce5b743b454759,
axelar,agoric,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,
gate,agoric,0xe66747a101bff2dba3697199dcce5b743b454759,
gate,ailayer,0xe66747a101bff2dba3697199dcce5b743b454759,
gate,airdao,0xe66747a101bff2dba3697199dcce5b743b454759,
astra,airdao,airdao:0x5cecbde7811ac0ed86be11827ae622b89bc429df,
kosmos,airdao,airdao:0xC15891E4dE2793726c20F53EcA6FB6319968E5F3,
alphbanx,alephium,alephium:258k9T6WqezTLdfGvHixXzK1yLATeSPuyhtcxzQ3V2pqV,
gate,alephium,0xe66747a101bff2dba3697199dcce5b743b454759,
ayin,alephium,alephium:vT49PY8ksoUL6NcXiZ1t2wAmC7tTPRfFfER8n3UCLvXy,
elexium,alephium,alephium:28LgMeQGdvtXfsvWhpNNVx1DoSiz7TzrATv9qxMQP5is9,
alphpad,alephium,alephium:27HxXZJBTPjhHXwoF1Ue8sLMcSxYdxefoN2U6d8TKmZsm,
algomint,algorand,algorand:441139422,
pnetwork,algorand,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,
portal,algorand,solana:85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,
gard,algorand,algorand:684649988,
xbacked,algorand,algorand:760037151,
gate,algorand,0xe66747a101bff2dba3697199dcce5b743b454759,
swissborg,algorand,0x64d0f55cd8c7133a9d7102b13987235f486f2224,
algodex,algorand,algorand:724480511,
pact,algorand,algorand:2994233666,
opulous,algorand,algorand:287867876,
vestige,algorand,algorand:700965019,
cometa,algorand,algorand:712012773,
yieldly,algorand,algorand:226701642,
tardly,algorand,algorand:2614577662,
ampleswap,alv,bsc:0x335f6e0e804b70a96bf9eb8af31588942e9b2515,
liquidops,ao,n2MhPK0O3yEvY2zW73sqcmWqDktJxAifJDrri4qireI,
gate,apechain,0xe66747a101bff2dba3697199dcce5b743b454759,
gamma,apechain,0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,
portal,aptos,solana:85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,
gate,aptos,0xe66747a101bff2dba3697199dcce5b743b454759,
animeswap,aptos,aptos:0x16fe2df00ea7dde4a63409201f7f4e536bde7bb7335526a35d05111e68aa322c::AnimeCoin::ANI,
atodex,aptos,aptos:0x1d7a81a523f95a7c9bcaa90add9d9986976062c1d121daf547ac6902e19864f3,
houstonswap,aptos,aptos:0x7ab72b249ec24f76fe66b6de19dcee1e3d3361db5c2cccfaa48ea8659060a1bd,
liquidswap,aptos,aptos:0x53a30a6e5936c0a4c5140daed34de39d17ca7fcae08f947c02e979cef98a3719,
thalaswap,aptos,aptos:0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615,
aptoslaunch,aptos,aptos:0xd0b4efb4be7c3508d9a26a9b5405cf9f860d0b9e5fe2f498b90e68b8d2cedd3e,
movegpt,aptos,0x63be1898a424616367e19bbd881f456a78470e123e2770b5b5dcdceb61279c54::movegpt_token::MovegptCoin,
movepump,aptos,sui:0xd9f9b0b4f35276eecd1eea6985bfabe2a2bbd5575f9adb9162ccbdb4ddebde7f,
streamflow,aptos,solana:STREAMribRwybYpMmSYoCsQUdr6MZNXEqHgm7p1gu9M,
propbase,aptos,aptos:0x6dba1728c73363be1bdd4d504844c40fbb893e368ccbeff1d1bd83497dbc756d,
mole,aptos,avax:0x2a1d12B6a84999aeAc82579F730e8Df9875092F0,
arbius,arbitrum,0x8afe4055ebc86bd2afb3940c0095c9aca511d852,
arbiten,arbitrum,arbitrum:0x3e6b3021Dab44dEbf93091030DbFCBdf52464Afe,
beanstalk,arbitrum,0xBEA0000029AD1c77D3d5D23Ba2D8893dB9d1Efab,
gmcash,arbitrum,arbitrum:0x654C908305021b2eaF881cEe774ECe1D2BCac5fc,
ordernchaos,arbitrum,avax:0xCd17D12dfD16051b5d2895E4dFC72AfD82DBB529,
ripae,arbitrum,fantom:0x8a41f13a4FaE75ca88B1ee726ee9D52B148b0498,
basisos,arbitrum,base:0x73Cb479f2ccf77BAd90BcDA91e3987358437240A,
axelar,arbitrum,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,
cbridge,arbitrum,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,
connext,arbitrum,0xfe67a4450907459c3e1fff623aa927dd4e28c67a,
debridge,arbitrum,solana:DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5,
hyphen,arbitrum,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,
multichain,arbitrum,0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,
pnetwork,arbitrum,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,
portal,arbitrum,solana:85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,
relaychain,arbitrum,0x5d843fa9495d23de997c394296ac7b4d721e841c,
renvm,arbitrum,0x408e41876cccdc0f92210600ef50372656052a38,
solvbtc,arbitrum,0x256f2d67e52fe834726d2ddcd8413654f5eb8b53,
angle,arbitrum,0x31429d1856aD1377A8A0079410B297e1a9e214c2,
frankencoin,arbitrum,0xB58E61C3098d85632Df34EecfB899A1Ed80921cB,
qidao,arbitrum,polygon:0x580a84c73811e1839f75d86d75d88cca0c241ff4,
savvy,arbitrum,arbitrum:0x43aB8f7d2A8Dd4102cCEA6b438F6d747b1B9F034,
xdollar,arbitrum,iotex:0x375488f097176507e39b9653b88fdc52cde736bf,
bitcointry,arbitrum,bsc:0x2024b9be6b03f2a57d3533ae33c7e1d0b0b4be47,
gate,arbitrum,0xe66747a101bff2dba3697199dcce5b743b454759,
nexo,arbitrum,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,
phemex,arbitrum,0xbbb32f99e6f2cb29337eebaa43c5069386de6e6c,
swissborg,arbitrum,0x64d0f55cd8c7133a9d7102b13987235f486f2224,
altitude,arbitrum,0x8929e9DbD2785e3BA16175E596CDD61520feE0D1,
boringdao,arbitrum,0xbc19712feb3a26080ebf6f2f7849b417fdd792ca,
crosscurve,arbitrum,0x8cb8c4263eb26b2349d74ea2cb1b27bc40709e12,
garden,arbitrum,0x5eed99d066a8caf10f3e4327c1b3d8b673485eed,
gasp,arbitrum,0x736ecc5237b31edec6f1ab9a396fae2416b1d96e,
spherium,arbitrum,0x8a0cdfab62ed35b836dc0633482798421c81b3ec,
symbiosis,arbitrum,0xd38bb40815d2b0c2d2c866e0c72c5728ffc76dd9,
synapse,arbitrum,0x0f2d719407fdbeff09d87557abb7232601fd9f29,
onedollardcae,arbitrum,arbitrum:0x0c083720131a22F576815EE6a691C7Ed94E86Ab3,
d8x,arbitrum,polygon_zkevm:0xDc28023CCdfbE553643c41A335a4F555Edf937Df,
futureswap,arbitrum,0x0e192d382a36de7011f795acc4391cd302003606,
hmx,arbitrum,arbitrum:0x83d6c8c06ac276465e4c92e7ac8c23740f435140,
pairex,arbitrum,arbitrum:0x2Ca07638acDa0B2bEa7B6a06F135476BDdd7101B,
rabbitx,arbitrum,0x3ba925fdeae6b46d0bb4d424d829982cb2f7309e,
roseonx,arbitrum,arbitrum:0xdc8184ba488e949815d4aafb35b3c56ad03b4179,
spacedex,arbitrum,bsc:0x37D39950f9C753d62529DbF68fCb4DCa4004fBFd,
yfx,arbitrum,arbitrum:0x569deb225441FD18BdE18aED53E2EC7Eb4e10D93,
definitive,arbitrum,base:0xED6E000dEF95780fb89734c07EE2ce9F6dcAf110,
hashflow,arbitrum,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,
openocean,arbitrum,bsc:0x8ea5219a16c2dbf1d6335a6aa0c6bd45c50347c5,
3xcalibur,arbitrum,arbitrum:0xd2568acCD10A4C98e87c44E9920360031ad89fCB,
alienfi,arbitrum,arbitrum:0x6740acb82ac5c63a7ad2397ee1faed7c788f5f8c,
arbiswap,arbitrum,arbitrum:0x9dB8a10C7FE60d84397860b3aF2E686D4F90C2b7,
clipper,arbitrum,0xd8f1460044925d2d5c723c7054cd9247027415b7,
crescentswap,arbitrum,arbitrum:0x0a1694716de67c98f61942b2cab7df7fe659c87a,
croswap,arbitrum,cronos:0x1Ba477CA252C0FF21c488d41759795E7E7812aB4,
deltaswap,arbitrum,arbitrum:0xb08d8becab1bf76a9ce3d2d5fa946f65ec1d3e83,
dexswap,arbitrum,arbitrum:0x92a212d9f5eef0b262ac7d84aea64a0d0758b94f,
elk,arbitrum,0xeEeEEb57642040bE42185f49C52F7E9B38f8eeeE,
flashliquidity,arbitrum,polygon:0xEb80C2d82C63FDe0F06a386939Eb488Dd3e8D6C5,
gridex,arbitrum,arbitrum:0x2F27118E3D2332aFb7d165140Cf1bB127eA6975d,
horiza,arbitrum,arbitrum:0xE594b57E7F11ec1E8Af9f003F74Fa52B7aefdc9F,
integral,arbitrum,0xd502f487e1841fdc805130e13eae80c61186bc98,
iziswap,arbitrum,0x9ad37205d608B8b219e6a2573f922094CEc5c200,
kromatika,arbitrum,optimism:0x3af33bef05c2dcb3c7288b77fe1c8d2aeba4d789,
mcdex,arbitrum,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,
oasisswap,arbitrum,arbitrum:0x602Eb0D99A5e3e76D1510372C4d2020e12EaEa8a,
openleverage,arbitrum,0x92cfbec26c206c90aee3b7c66a9ae673754fab7e,
oreoswap,arbitrum,arbitrum:0x319e222De462ac959BAf2aEc848697AeC2bbD770,
perfectswap,arbitrum,arbitrum:0xA108a69A996d5467444780e2B1b36aD5851de2Ef,
pixelswap,arbitrum,base:0x8d161EB5eB541c09C9589d7C55F17E89AD9d225F,
ponyswap,arbitrum,arbitrum:0xB39C9383B56356Ef9A5c8d35e8fEe26F40B5de7f,
poolshark,arbitrum,arbitrum:0x903ca00944d0b51e50d9f4fc96167c89f211542a,
rubicon,arbitrum,base:0xb3836098d1e94ec651d74d053d4a0813316b2a2f,
shapeshift,arbitrum,0xc770eefad204b5180df6a14ee197d99d808ee52d,
shekelswap,arbitrum,arbitrum:0xF549Ce4082978524f651DEC918E738EEfE77c3bC,
spartadex,arbitrum,0x11f98c7e42a367dab4f200d2fdc460fb445ce9a8,
spinaqdex,arbitrum,arbitrum:0x802124EB78E43FD8d3d4E6DAAAa4Be28Dc7993dc,
sugarswap,arbitrum,arbitrum:0xd3ccbf3867ff0204730173eb4cad3c4b5fd07c69,
sushiswap,arbitrum,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,
swapfish,arbitrum,arbitrum:0xb348B87b23D5977E2948E6f36ca07E1EC94d7328,
swaprum,arbitrum,arbitrum:0x2aE25460c44d578E6f41aB900a7A5425b6492C16,
trainswap,arbitrum,arbitrum:0x52DA160e9a8CeF972FF0A797D4902eD67589f64C,
virtuswap,arbitrum,0x99A01A4d6a4D621094983050D9A2F10B2912e53D,
whaleswap,arbitrum,binance:0xDDed222297B3d08DAFDAc8f65eeB799B2674C78F,
zenithswap,arbitrum,arbitrum:0xb2dcbd5258a22385240e4ac13fc6726b66f0de96,
zigzag,arbitrum,0xc91a71a1ffa3d8b22ba615ba1b9c01b2bbbf55ad,
zipswap,arbitrum,optimism:0xFA436399d0458Dbe8aB890c3441256E3E09022a8,
arbinyan,arbitrum,arbitrum:0xeD3fB761414DA74b74F33e5c5a1f78104b188DfC,
array,arbitrum,arbitrum:0x164731CD270daA4A94bc70761E53320e48367B8B,
credbull,arbitrum,arbitrum:0xD6b3d81868770083307840F513A3491960b95cb6,
onyxdao,arbitrum,arbitrum:0xb7cd6c8c4600aed9985d2c0eb174e0bee56e8854,
opulous,arbitrum,algorand:287867876,
zeepr,arbitrum,solana:FHAeF63cELMnm9HAHPLEWJGrGpBEYkdcvN3cLQGTCA6j,
footballmanager,arbitrum,arbitrum:0xBFCAd87Eb74E5855D72808aBa3d7DD2d790FFEfD,
treasure,arbitrum,arbitrum:0x539bdE0d7Dbd336b79148AA742883198BBF60342,
arbitrove,arbitrum,arbitrum:0x982239d38af50b0168da33346d85fb12929c4c07,
insuredao,arbitrum,0xd83ae04c9ed29d6d3e6bf720c71bc7beb424393e,
chaingpt,arbitrum,bsc:0x9840652DC04fb9db2C43853633f0F62BE6f00f98,
dxsale,arbitrum,0xF063fE1aB7a291c5d06a86e14730b00BF24cB589,
kommunitas,arbitrum,bsc:0x3cd886be588685484528cbf6494729922e4e89c6,
seedify,arbitrum,bsc:0x477bc8d23c634c154061869478bce96be6045d12,
cygnusdao,arbitrum,polygon:0xc553a5A789f1BB56a72847b3FDA1DE3E16e6763f,
dforce,arbitrum,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,
dolomite,arbitrum,berachain:0x0f81001ef0a83ecce5ccebf63eb302c70a39a654,
filda,arbitrum,heco:0xe36ffd17b2661eb57144ceaef942d95295e637f0,
fraxlend,arbitrum,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,
gearbox,arbitrum,0xba3335588d9403515223f109edc4eb7269a9ab5d,
gloop,arbitrum,arbitrum:0x4d48d503ed04d50418C9aBF163b1168FF834E47c,
